Job Title,Company,Location,Description,Apply Link
Staff Software Engineer Simulation Test,Cruise,"San Francisco, CA","The Simulation Test group delivers products that accelerate autonomous vehicle development, validation, and deployment. As a Staff Software Engineer on the Simulation Test Engineering team, you will implement scalable testing pipelines for AV Behavior development and validation. You will be responsible for delivering precise and reliable testing products built on industry leading autonomous vehicle simulation frameworks. You will work closely with stakeholders across multiple disciplines to ensure our simulation testing provides clear signal on AV behavior. What you'll be doing: Coordinate cross-functional expansion testing activities while navigating the organizational complexities of a remote workforce Lead the design and implementation of automated testing pipelines Work closely with partner teams to extract and interpret the testing signal used to make decisions on operational road readiness Communicate progress and results clearly and concisely with leadership Maintain a high technical standard for code quality on the team, through architectural design and code reviews What you must have: BS, MS, or PhD in Computer Science or equivalent experience Equivalent experience includes tech leadership in a complex space, driving technical design and execution cross-collaboratively across multiple teams and organizations 5+ years experience coding Python and/or C++ 4 + years experience in one or more of the following areas: test framework development, scale simulation test creation and management, implementation or analysis of metrics for extracting test signal Familiarity using at least one column oriented database/data warehouse (i.e. BigQuery, RedShift) Familiarity with dashboarding systems for displaying and exploring metrics over time (i.e. Looker, Tableau, Kibana) Clear track record of effective collaboration with customers and continuous delivery of quality results in a remote workplace. Comfortable collaborating with data scientists, product managers, machine learning engineers, and systems engineers Innate curiosity toward solving testing problems, a mindset toward scaling, and an insistence on quality Strong communication skills and experience addressing diverse audiences Passion for safe, fully-electric, self-driving technology and its impact on the world Bonus points! Experience testing an autonomous driving or robotics software stack Experience with complex physics-simulation-based testing Experience with verification and validation of complex and/or safety critical systems The salary range for th is position is $166,600 - $245,000 . Compensation will vary depending on location, job-related knowledge, skills, and experience. You may also be offered a bonus, long-term incentives, and benefits. These ranges are subject to change. Please mention the word **REVITALIZE** and tag RMTA1LjExMi45OS4yMTY= when applying to show you read the job post completely (#RMTA1LjExMi45OS4yMTY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-staff-software-engineer-simulation-test-cruise-990628
Data Scientist,Big Time,Remote,"ABOUT US Big Time is a Player vs. Environment action RPG game combining adventure with a player-driven economy. Big Time Studios also built Open Loot, a web3 gaming platform and marketplace to solve crypto UX, scalability, distribution, payments, and compliance. With a focus on quality midcore to hardcore games, our five initial launch partner studios go live starting in mid-2024. THE MISSION The Big Time Analytics team is looking to hire one Data Scientist to analyze large datasets and derive actionable insights that will drive the success of our video game products. You will work closely with our development, marketing, and product teams to understand player behavior, optimize game performance, and enhance the overall player experience. \n RESPONSIBILITIES Design, develop, and implement machine learning techniquesâSupervised, Unsupervised, and Reinforcement Learning modelsâto optimize player retention, enhance conversion rates, and deliver more engaging gameplay experiences. Serve as the primary liaison between Marketing, Game Economy, Game Development, and Data Engineering teams, functioning as a product manager to oversee the creation of tailored datasets that address key analytical questions and drive decision-making. Build and implement a robust framework for the Marketing team, leveraging SQL and predictive analytics to optimize user acquisition strategies and marketing spend. Establish close collaboration with Game Development and Game Economy teams to provide predictive, actionable analytics that shape game design, feature improvements, and economic strategies. Develop and implement optimization strategies for game currency Sinks and Sources to ensure sustainable in-game economic growth, including conducting simulations prior to launch to forecast potential impacts. Lead the creation of intuitive dashboards and reporting tools that provide real-time monitoring of in-game economic systems and player engagement metrics. Qualifications Bachelor's degree in Statistics, Mathematics, Computer Science, Economics, or a related field. Advanced programming skills in Python and SQL, with hands-on experience using data science libraries (e.g., Pandas, NumPy, scikit-learn). Proven ability to translate complex data insights into clear, actionable strategies for business and technical teams. Experience with A/B testing, experiment design, and causal inference to evaluate the impact of game features and marketing campaigns. Proficiency with data visualization tools like Tableau, Looker, or Power BI to create dynamic visual representations of data trends. Strong understanding of player behavior analysis, including player segmentation, churn prediction, and lifetime value (LTV) modeling. Exceptional communication and presentation skills, with the ability to convey technical insights to both technical and non-technical stakeholders. Crypto or web3 development experience preferred. WHAT WE OFFER Fully remote work, with a yearly company offsite Experience working with gaming veterans who've created titles with a gross aggregate revenue of over $10B USD Flexible 20 days off PTO (holidays + local national holidays) Experience creating a new IP with franchise potential \n Please mention the word **IRRESISTIBLE** and tag RMTA1LjExMi45OS4yMTY= when applying to show you read the job post completely (#RMTA1LjExMi45OS4yMTY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-data-scientist-big-time-990086
Solutions Architect Generative AI,2100 NVIDIA USA,"US, CA, Santa Clara","We are looking for a AI Solution Architect Engineer with experience in Generative AI software development and deployment. As part of the Solution Architect organization, we work with the most exciting computing hardware and software, driving the latest breakthroughs in deep learning and AI with NVIDIA's key customers. This role offers an excellent opportunity to build your career in the rapidly growing field of AI while working with the world's most successful technology companies. Primary responsibilities will be to lead software customer technical engagements with NVIDIA products and technologies. Join us in this exciting endeavor! What you'll be doing: Develop and demonstrate software solutions based on NVIDIA's ground breaking AI software and hardware technologies to customers. Develop GenAI model pipeline and perform in-depth analysis and optimization to ensure the best performance on current- and next-generation GPU architectures Develop and debug software for NVIDIA and OSS AI frameworks and libraries Lead and develop proof-of-concepts (PoCs) for software solutions applied to Consumer Internet industry use-cases such as NLP/LLM, retrieval, recommender, etc. by working closely with customer's AI developers. Build collateral (notebook/code) for PoCs Work closely with business development team owning the technical relationship and enabling customer in building innovative solutions based on NVIDIA technologies Partner with NVIDIA software engineering, product, sales teams to secure design wins at customers. Enable development and growth of NVIDIA product features through customer feedback and PoC evaluations What we need to see: BS, MS, or PhD in Computer Science, Electrical/Computer Engineering, Physics, Mathematics, or other Engineering fields or equivalent experience 5+ years of experience as an AI/Software Engineer with proven track record coding in Python and/or C++ with popular AI software libraries and GPUs Experience with GenAI applications and LLM training/fine-tuning, inference optimization and/or RAG pipelines Ability to communicate your ideas/code clearly through GitHub, documentation Great teammate who enjoys collaborating with teams across the organization such as Engineering/Research, Sales, Product, and Marketing Effective verbal/written communication, and technical presentation skills Self-starter with passion for growth, enthusiasm for continuous learning and sharing findings across the team Ways to stand out from the crowd: Experience working with enterprise developers and customer facing skills Experience with large-scale production data pipelines and AI model training/deployment Knowledge of MLOps technologies such as containers, Kubernetes, data center deployments etc. Able to think creatively to debug and solve complex problems We make extensive use of conferencing tools, but occasional travel is required for local on-site visit to customers and data science conferences. We are open to remote work location. We look forward to have you join our team! With highly competitive salaries, a comprehensive benefits package, and an excellent engineering work culture, NVIDIA is widely considered to be one of the technology industry's most desirable employers. NVIDIA has some of the most innovative people working on meaningful problems that are defining the field of ML/DL, data science, robotics, and graphics. The base salary range is 148,000 USD - 230,000 USD. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions. You will also be eligible for equity and benefits. NVIDIA accepts applications on an ongoing basis. NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law. NVIDIA is the world leader in accelerated computing. NVIDIA pioneered accelerated computing to tackle challenges no one else can solve. Our work in AI and digital twins is transforming the world's largest industries and profoundly impacting society. Learn more about NVIDIA. Please mention the word **CUTE** and tag RMTA1LjExMi45OS4yMTY= when applying to show you read the job post completely (#RMTA1LjExMi45OS4yMTY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-solutions-architect-generative-ai-2100-nvidia-usa-985916
Data Quality Engineer,Capco,,"About Capco Our team in Capco specializes in management consulting & software development, mostly for international banks and insurance companies in western Europe. Do you want to learn more about our culture and people? Visit https://www.capco.com/Careers/Slovakia/ Benefits of working for Capco: The opportunity to work with experienced colleagues for prestigious banks The opportunity to work on different projects, no routine Technical and soft skills training, professional certifications, full access to the Udemy online learning platform Sick days, employee's vacation - 25 days per year, regardless of the age Cafeteria provided by the Benefits plus services (50 EUR monthly) and/or contribution to 3rd pillar Fully paid meal vouchers Smartphone and internet with 1.000 GB of data, laptop Remote work within Czech republic (Home-office) We care: we support the well-being of our employees (Yoga lessons, mental health webinars - Liga za duÅ¡evnÃ© zdravie), team sports activities - e.g. running challenges, multisport card, participation on the volunteering days Role Description We are expanding our new team for our banking clients. You will be a Data Quality Engineer, part of an agile team focused on exciting transformation challenges around data Develop data quality queries and automated data checks with T-SQL, PL SQL to carry out data quality measurements and clean up problems that arise You will work with some of the largest banks in the world, on projects that will transform the financial services industry You will modernize related processes and set-up, develop, and optimize state-of-the-art solutions and the corresponding data management all the way from business analysis to implementation Gradually you will take on more responsibility for your topics, as well as lead sub-projects and smaller project teams Skills and Expertise A successfully completed university degree Fluent English (German is a big advantage) Experience with data quality queries and automated data checks with T-SQL, PL SQL Experience with Python is an advantage Big query and GCP knowledge is added advantage Payment and finance industry experience is added advantage Recruitment process steps: Screening call with the Recruiter Technical/Competencies interview with experienced Capco colleague Feedback/Offer You are important to us! That's why you get a personal coach at our side who supports you individually. With our start-up mentality and our flat hierarchy, you have every opportunity to place your ideas and to put them into practice. In addition, after work, you have numerous opportunities to expand your internal network and get to know new faces through joint sports activities and team events. Have we made you curious? Then apply now! It takes only 5 minutes. If you have any other question related to the position please reach out to me: â zora.paulikova@capco.com ð» Zora Paulikova | LinkedIn Please mention the word **GLIMMER** and tag RMTA1LjExMi45OS4yMTY= when applying to show you read the job post completely (#RMTA1LjExMi45OS4yMTY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-data-quality-engineer-capco-984902
AI Application Engineer People Applications,DoorDash USA,"Seattle, Washington, United States","About the Team DoorDash's ability to build the best products in the industry, enabling local commerce at global scale, depends on its ability to recruit, engage, grow, and retain the best talent in the industry. The People Applications team at DoorDash leverages state-of-the-art methods and technologies to develop products spanning from recruitment through termination. We're looking for a talented AI Application Engineer to join our team and work closely with the people team to drive key technology decisions and innovations within the People experience. Your contributions will shape the future of the company as we continue to push the boundaries of what is possible around the globe. About the Role The DoorDash People Application team is looking for an AI Application Engineer with demonstrated experience and knowledge in launching AI/ML solutions for customer facing applications. You will interact directly with senior leaders and cross-functional partners across DoorDash to understand requirements, design, build end-to-end solutions, and maintain the supporting services for our applications across diverse technical areas for various people functions, all in sync with our people goals. You're excited about this opportunity because you will... Help build the tools and resources that enable our employees to have the best possible employee experience. Deploy Generative AI (LLMs) and other cutting-edge ML tools to help scale our technology solutions across the organization. Work with a global workforce solving the critical needs of employee and candidate populations reaching tens of thousands of people. Own your space and get to be creative as we navigate new areas of people technology and analytics. We're excited about you because you have.... Bachelor or Masters degree in Computer Science, Engineering, or a related field. Minimum of 3 years of experience in developing and deploying ML solutions, ideally including LLMs. 5+ years of experience in general software development. Proficiency in programming languages such as Python and JavaScript. You're proficient with web development using React, Typescript, Express.js, Node.js, and Postgres. Experience and proven track record in designing and implementing AI solutions for real-world problems. Understanding of machine learning algorithms and principles, including supervised and unsupervised learning, reinforcement learning, neural networks, and natural language processing. Experience with data preprocessing, data mining, and data analysis. Experience with machine learning frameworks and libraries like TensorFlow, PyTorch, Keras, or Scikit-learn. Familiarity with big data technologies such as Hadoop, Spark, and NoSQL databases. Proficiency with cloud platforms like AWS, Google Cloud, or Azure, and experience with deploying AI models in a cloud environment. Experience with version control systems like Git. Experience working in an Agile/Scrum development process. While not required, it's preferred you also have: Experience with building scalable application with Generative AI, using frameworks such as LangChain, Hugging Face, Llama Index etc. Depth of knowledge with RAG implementation and optimization Experience with Generative AI development and fine-tuning such setting up prompts prompt flows, agents, guardrails, and knowledge base optimization. Notice to Applicants for Jobs Located in NYC or Remote Jobs Associated With Office in NYC Only We use Covey as part of our hiring and/or promotional process for jobs in NYC and certain features may qualify it as an AEDT in NYC. As part of the hiring and/or promotion process, we provide Covey with job requirements and candidate submitted applications. We began using Covey Scout for Inbound from August 21, 2023, through December 21, 2023, and resumed using Covey Scout for Inbound again on June 29, 2024. The Covey tool has been reviewed by an independent auditor. Results of the audit may be viewed here: Covey Please mention the word **ANGEL** and tag RMTA1LjExMi45OS4yMTY= when applying to show you read the job post completely (#RMTA1LjExMi45OS4yMTY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-ai-application-engineer-people-applications-doordash-usa-984720
Teaching Assistant Data Analytics T4J,Correlation One,"Amman, Amman, Jordan","Correlation One develops the workforce's skills for the AI economy Enterprises and governments work with us to develop talent and close critical data, digital, and technology skills gaps. Our global programs, including Data Skills for All (DS4A) and data competitions, also empower underrepresented communities and accelerate careers. Our mission is to create equal access to the data-driven jobs of the future. We partner with top employers and government organizations to make that a reality, including Amazon, Coca-Cola, Johnson & Johnson, USAID and the U.S. Department of Defense. Our skills training programs are 100% free for learners and are delivered virtually by industry experts to minimize traditional barriers to career advancement. We take pride in fostering supportive, human-led, group learning environments that build technical proficiency and confidence in participants. Join us and let's shape the AI Economy together! A day in the life Mandatory Pre-Program TA Onboarding: We will host one live onboarding session during September 2024 to prepare TAs for the job. The duration of this contract is 20 weeks, from October 19th, 2024, to March 8th, 2025. Live lectures are run via Zoom Full-time TAs are expected to be available on Mondays from 06:00 to 10:30 pm EEST (Jordan time) or Sundays 06:00 - 10:30 PM EEST (Jordan time) to support live lectures. They will do the remaining 12 hours/week asynchronously and at agreed-upon times (office hours) with their learners. Part-time TAs are expected to spend 10 hours/week asynchronously and at agreed-upon times (office hours) with their learners. âFull-Timeâ TAs are required to participate in all live lectures, providing helpful and fast responses via Slack, as well as being prepared to host breakout rooms as needed. âPart-Timeâ TAs are not required to participate in live lectures, but otherwise have the same responsibilities as Full-Time TAs Provide 6 hours of individual office hour sessions for Fellows each week. You may set these hours within our parameters at your availability and convenience. Host review sessions or other support mechanisms to ensure the progress and satisfaction of your Fellows. Participate in a 30-minute weekly TA meeting (time TBD) Submit weekly write-ups summarizing the week's accomplishments and challenges (due date TBD) Take attendance during office hours on the TA portal Grade your Fellows' submissions, providing feedback and ongoing learning support Your expertise Minimum 4-year college degree or equivalent experience Reliable, with solid organizational skills Advanced Excel, SQL, Tableau, Looker Studio, and familiarity with Python (numpy, pandas, matplotlib, statsmodels, scikit-learn) Personable and approachable An affinity for communicating with others in an empathetic and considerate manner Proactive problem-solver, high attention to detail, and a quick learner English language proficiency Arabic language proficiency is a plus Where you are This role is remote and can be located anywhere compatible with Jordan's time zone and the times listed under the âA day in the life' section. Compensation The estimated compensation rate for this position is $30/hr. Correlation One's Commitment Correlation One is proud to be an Equal Opportunity Employer and is committed to providing equal opportunity for all employees and applicants. Correlation One provides a work environment free of discrimination and harassment. Employment decisions at Correlation One are based solely on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, or any other status protected by the laws or regulations in the locations where we operate. We encourage applicants to bring their unique skills, experiences, and outlook to our work environment. Correlation One is committed to the full inclusion of all qualified individuals. In keeping with our commitment, Correlation One strives to provide reasonable accommodations for persons with disabilities to enable them to access the hiring process. If you need an accommodation to access the job application or interview process, please contact peopleops@correlation-one.com . #priority Please mention the word **PROGRESS** and tag RMTA1LjExMi45OS4yMTY= when applying to show you read the job post completely (#RMTA1LjExMi45OS4yMTY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-teaching-assistant-data-analytics-t4j-correlation-one-980686
Senior Machine Learning Engineer,Kalepa,"New York, New York, United States","Salary range: $160k - $210k Equity range: 0.05% - 0.20% What we are looking for: Kalepa is looking for a Senior Machine Learning Engineer with 5+ years of experience to lead the framing, development, and deployment at the scale of machine learning models. As a Machine Learning Engineer you will lead the framing, development, and deployment at scale of machine learning models to understand the risk of various classes of businesses. You will be turning vast amounts of structured and unstructured data from many sources (web data, geolocation, satellite imaging, etc.) into novel insights about behavior and risk. Team members are given full ownership over their projects and are expected to drive the project's direction and maintain focus. The team works in a two-week sprint, and ML Engineers will work closely with Product Management and Software Engineers. About you: You have 5+ years of experience in engineering and data science. You love to hustle: finding ways to get things done, destroying obstacles, and never taking no for an answer. The words âit can't be doneâ don't exist in your vocabulary. You have in-depth understanding of applied machine learning algorithms, especially NLP, and statistics You are experienced in Python and its major data science libraries, and have deployed models and algorithms in production You are comfortable with data science as well as with the engineering required to bring your models to production. You are excited about using a wide set of technologies, ultimately focused on finding the right tool for the job. You value open, frank, and respectful communication. As a plus: You have experience with AWS You have hands-on experience with data analytics and data engineering. What you'll get: Competitive salary (based on experience level). Significant equity options package. Work with an ambitious, smart, global, and fun team to transform a $1T global industry. 20 days of PTO a year. Global team offsites. 100% covered PPO medical, 100% covered vision and dental for individuals and families. Healthy living/gym stipend. Mobile phone bill stipend. Continuing education credits. 401(k) plan with employer contribution (regardless of employee contribution) Please mention the word **SINCERE** and tag RMTA1LjExMi45OS4yMTY= when applying to show you read the job post completely (#RMTA1LjExMi45OS4yMTY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-senior-machine-learning-engineer-kalepa-977171
Backend Engineer,PayPay,"Tokyo, Tokyo Prefecture, Japan","About PayPay PayPay is a FinTech company that has grown to over 65M (as of August 2024) users since its launch in 2018. Our team is hugely diverse with members from over 50 different countries. OUR VISION IS UNLIMITED_ We dare to believe that we do not need a clear vision to create a future beyond our imagination. PayPay will always stay true to our roots and realize a vision (future) that no one else can imagine by constantly taking risks and challenging ourselves. With this mindset, you will be presented with new and exciting opportunities on a daily basis and have the opportunity to grow and reach new dimensions that you could never have imagined. We are looking for people who can embrace this challenge, refresh the product at breakneck speed and promote PayPay with professionalism and passion. â» Please note that you cannot apply or be selected in parallel with PayPay Corporation, PayPay Card Corporation and PayPay Securities Corporation. Job Description PayPay is looking for a Backend engineer to work on our payment system to deliver the best payment experience for our customers. Main Responsibilities Design large scale systems with high complexity to support our high throughput applications. Understand how to leverage infrastructure for solving such large scale problems. Develop tools and contribute to open source wherever possible. Adopt problem solving as a way of life - always go to the root cause! Support the code you write in production. Tech Stack We select the best combination of tech at times. | Java, Kotlin, Scala | Spring Boot, JUnit, Reselience4j, Feign | MySQL/AuoraDB, DynamoDB, ELK, Kafka, Redis, TiDB | Docker, Kubernetes, ArgoCD, AWS, GCP | GitHub, IntelliJ, Gradle, Maven, npm/yarn, Flyway, Jenkins, snyk, | Bigquery, Kibana, Spark | PlantUML, draw.io, miro.com | Slack, Zoom Qualifications 3+ years of experience in using Java under professional environment, or if you are non-Java user, excellent skills in generalized programming languages, such as Scala, Python and Go. Interest and ability to learn other coding languages as needed. Experience with NoSQL databases and distributed cache. Strong fundamentals in data structures, algorithms and object oriented programming. In-depth understanding of concurrency and distributed computing. Degree in Computer Engineering or Computer Science or 3+ years equivalent experience in SaaS platform development. Business of English or Japaneseã Preferred Qualifications Experience with implementing platform components such as RESTful APIs, Pub/Sub Systems, Database Clients. Experience with AWS services. Experience in working for system development in finance, payment, or similar industries Experience in system design, development of web system which handles massive amount of transactions or requires scalability Language ability in Japanese and English is a plus (We have a professional translator but it is nice to have language skills) Experience in microservices PayPay 5 senses Please refer PayPay 5 senses to learn what we value at work. Working Conditions Employment Status Full Time Office Location WFA(Work From Anywhere at Anytime) Remote Job You can live anywhere in Japan Work Hours Super Flex Time (No Core Time) In principle, 10:00am-6:45pm (actual working hours: 7h45m + 1h break) Holidays Every Sat/Sun/National holidays (In Japan)/New Year's break/Company-designated Special days Paid leave Annual leave (up to 14 days in the first year, granted proportionally according to the month of employment. Can be used from the date of hire) Personal leave (5 days each year, granted proportionally according to the month of employmentï¼ ï¼PayPay's own special paid leave system, which can be used to attend to illnesses, injuries, hospital visits, etc., of the employee, family members, pets, etc. Salary Annual salary paid in 12 installments (monthly) Based on skills, experience, and abilities Reviewed once a year Special Incentive once a year *Based on company performance and individual contribution and evaluation Late overtime allowance, Work from anywhere allowance (JPY100,000) Benefits Social Insurance (health insurance, employee pension, employment insurance and compensation insurance) 401K Translation/Interpretation support VISA sponsor + Relocation support Please mention the word **EXULTANT** and tag RMTA1LjExMi45OS4yMTY= when applying to show you read the job post completely (#RMTA1LjExMi45OS4yMTY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-backend-engineer-paypay-975790
Senior Full Stack Engineer,DataGrail,"San Francisco Bay Area, California, United States","The Opportunity: At DataGrail, we believe that privacy is a fundamental human right. Individuals demand transparency and control over their identity and personal data more than ever before. With increasing demands for transparency and control over personal data, DataGrail is committed to transforming how brands manage data privacy. We're looking for a Senior Full Stack Engineer who can help us execute on this mission. You'll build products that deliver value to our customers, ensuring that individuals have the transparency and control they should over their privacy. Reporting to the Senior Engineering Manager on our Trust team, this is a true full stack role in which you will work alongside a small team of talented engineers, inspiring your teammates to produce their best work as a force-multiplier, while also demonstrating best practices in code, communication, feedback, and vulnerability. We offer a culture of collaboration, continuous learning, and growth. We solve problems, celebrate wins, and are always looking for ways to iterate and improve. The Skill Set: 1. Use your full stack software engineering expertise to: Operate in a Ruby on Rails and React w/ Typescript environment Work hands-on with AWS in a production environment Leverage your deep working knowledge with Postgres or similar DB technologies Design and implement platform-level technical solutions for product features on a day to day basis Build scalable, resilient, and observable distributed systems Independently scope milestone-based, extensible technical solutions as part of project planning Take ambiguous problems and break them down into clear, manageable parts Lead teams to improve code structure and maintainability by example Partner with your Engineering Manager and Product Manager to lead the delivery team in the collaborative development of new features Partner with Staff Engineers across teams to develop our guiding principles of engineering, focusing on technical direction 2. Strong and Effective Communicator: You consider the effects of work across multiple teams and proactively communicate and manage potential issues You identify team-impacting problems, suggest solutions, and drive resolutions in a collaborative remote environment 3. Bonus Points if You: Are familiar with CI/CD tools like Git, Github Actions, and Terraform Can use Figma for UI/UX design and specifications Are familiar with Python or similar languages Within 90 Days You'll: Get to know DataGrail, our products, customers, architecture, and technologies Pair with other engineers to learn our codebase, and deployment process and to deliver new product features while resolving bugs Start to take ownership over new and existing feature development Contribute to discovery and technical planning for upcoming features and sprints Give and receive consistent peer feedback on quality of work, team contribution, and alignment with DataGrail core values Within 180 Days You'll: Lead development of major features and platforms that are important for your team and our customers Be a go-to person for code reviews, technical designs and/or mentorship for engineers in your team or other teams Participate in the on-call rotation by triaging incoming questions and bugs, and helping lead the resolution efforts for high severity or high priority issues Within 365 Days You'll: Play significant leadership role in the launch of new products and platform features Be the subject matter expert for certain areas of the product and you will use your business and technical acumen to ensure the projects in those areas succeed Please mention the word **ROCKSTAR** and tag RMTA1LjExMi45OS4yMTY= when applying to show you read the job post completely (#RMTA1LjExMi45OS4yMTY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-senior-full-stack-engineer-datagrail-973407
Data Analyst,Capco,,"Job Title: Junior Data Analytics About Us âCapco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar & Seramount . With our presence across 32 cities across globe, we support 100+ clients across banking, financial and Energy sectors. We are recognized for our deep transformation execution and delivery. WHY JOIN CAPCO? You will work on engaging projects with the largest international and local banks, insurance companies, payment service providers and other key players in the industry. The projects that will transform the financial services industry. MAKE AN IMPACT Innovative thinking, delivery excellence and thought leadership to help our clients transform their business. Together with our clients and industry partners, we deliver disruptive work that is changing energy and financial services. #BEYOURSELFATWORK Capco has a tolerant, open culture that values diversity, inclusivity, and creativity. CAREER ADVANCEMENT With no forced hierarchy at Capco, everyone has the opportunity to grow as we grow, taking their career into their own hands. DIVERSITY & INCLUSION We believe that diversity of people and perspective gives us a competitive advantage. MAKE AN IMPACT Job Description Role Data Analyst Requirements: Educational Background : A degree in Computer Science, Data Science, Statistics, or a related field. Experience : Proven experience in developing and deploying AI/ML models in a business environment. Technical Skills : Proficiency in programming languages such as Python or R, and experience with AI/ML frameworks like TensorFlow or PyTorch. Analytical Skills : Strong analytical and problem-solving skills with the ability to interpret complex data. Communication Skills : Excellent verbal and written communication skills to effectively convey technical information to non-technical stakeholders. Attention to Detail : High level of accuracy and attention to detail in data analysis and model development. Please mention the word **LEVITY** and tag RMTA1LjExMi45OS4yMTY= when applying to show you read the job post completely (#RMTA1LjExMi45OS4yMTY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-data-analyst-capco-970063
